,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
289,Thomson,80,32,HD Ready,LED,6999,4.5,30898,4899,2025
290,realme,109,43,Ultra HD (4K),QLED,19999,4.3,2515,279,2025
291,Infinix,80,32,HD Ready,LED,7999,3.9,58660,5830,2024
292,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
293,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
294,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
295,Foxsky,60,24,HD Ready,LED,5499,4.4,8820,2025,2025
296,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
297,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
298,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
299,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
300,Foxsky,109,43,Full HD,LED,12499,4.3,8820,2025,2023
301,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
302,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
303,XIAOMI,80,32,HD Ready,LED,11999,4.4,96782,6489,2024
304,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
305,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
306,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
307,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
308,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
309,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
310,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
311,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
312,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
313,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
314,realme,109,43,Ultra HD (4K),QLED,19999,4.1,2515,279,2025
315,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
316,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
317,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
318,realme,80,32,HD Ready,QLED,9499,4.1,9053,686,2025
319,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
320,Thomson,100,40,Full HD,LED,14499,4.3,126694,21850,2023
321,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
322,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
323,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
324,Foxsky,109,43,Full HD,LED,12499,4.1,8820,2025,2023
325,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
326,Acer,108,43,Ultra HD (4K),LED,21999,3.9,9955,939,2024
327,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
328,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.5,11449,2821,2023
329,XIAOMI,108,43,Full HD,LED,21999,4.3,96782,6489,2025
330,Acer,80.01,32,HD Ready,LED,10999,3.9,9955,939,2024
331,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
332,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
333,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
334,Thomson,126,50,Ultra HD (4K),LED,23999,4.4,40692,9599,2023
335,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
336,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
337,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
338,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
339,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
340,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
341,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
342,realme,80,32,HD Ready,QLED,9499,4.4,9053,686,2025
343,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
